source,geo_id,parent_id,cluster,x,n,share,x_rest,n_rest,share_rest,lq,lq_lo,lq_hi,is_finance_lens
claude_ai,AE,GLOBAL,"Assist with SQL databases, data analysis, and visualization tasks",110.0,4587.0,0.023980815347721823,26481.0,966921.0,0.027386932334699524,0.8756298461853605,0.7277353181836462,1.053580344903794,False
claude_ai,AE,GLOBAL,"Assist with academic research, scientific writing, and educational content creation",280.0,4587.0,0.06104207543056464,72159.0,966921.0,0.07462760659867766,0.8179556897600714,0.7300333629422244,0.9164670333892994,False
claude_ai,AE,GLOBAL,"Assist with business development, analysis, research, and strategic planning",301.0,4587.0,0.06562023108785699,42748.0,966921.0,0.04421043704708037,1.484270128747585,1.3301977248162609,1.656188229758609,True
claude_ai,AE,GLOBAL,"Assist with civic information, government services, and institutional research",43.0,4587.0,0.009374318726836712,11460.0,966921.0,0.011852054097490902,0.790944645521089,0.5870904267164647,1.065582751497686,False
claude_ai,AE,GLOBAL,"Assist with creative content, marketing, and media production projects",428.0,4587.0,0.09330717244386309,73935.0,966921.0,0.07646436472059248,1.2202700275457163,1.114710358708603,1.3358258748501315,False
claude_ai,AE,GLOBAL,"Assist with job applications, career transitions, and interview preparation",220.0,4587.0,0.047961630695443645,34350.0,966921.0,0.03552513597284576,1.3500759217953149,1.1862628251592322,1.5365102538443007,False
claude_ai,AE,GLOBAL,"Assist with mathematics, physics, and STEM homework and assignments",278.0,4587.0,0.06060606060606061,69606.0,966921.0,0.0719872667984251,0.8418997317368149,0.7510718165172198,0.9437115635429656,False
claude_ai,AE,GLOBAL,"Assist with software development, debugging, and programming across multiple platforms",759.0,4587.0,0.16546762589928057,167631.0,966921.0,0.17336576617945001,0.9544423304887418,0.8942542327386602,1.0186814094678183,False
claude_ai,AE,GLOBAL,"Assist with translation, writing, editing, and document formatting tasks",310.0,4587.0,0.06758229779812513,76096.0,966921.0,0.07869929394438635,0.8587408401132905,0.7710536675030756,0.9564001334259117,False
claude_ai,AE,GLOBAL,Build and manage subscription-based e-commerce operations,47.0,4587.0,0.01024634837584478,7685.0,966921.0,0.007947908877767676,1.289187952884868,0.9691994744498027,1.7148230283626265,False
claude_ai,AE,GLOBAL,Create professional presentations and draft workplace correspondence,257.0,4587.0,0.056027904948768255,33708.0,966921.0,0.03486117273282926,1.6071721217802288,1.4265045077995928,1.8107213926802708,False
claude_ai,AE,GLOBAL,Develop and debug automated trading bots and blockchain financial software,122.0,4587.0,0.02659690429474602,16317.0,966921.0,0.01687521524509241,1.576092743615868,1.3220911559990987,1.8788933918867299,True
claude_ai,AE,GLOBAL,"Develop, deploy, and debug machine learning and AI systems",112.0,4587.0,0.024416830172225856,22425.0,966921.0,0.023192173921137302,1.0528047200427557,0.8764052892842898,1.2647091386788303,False
claude_ai,AE,GLOBAL,"Extract and structure data from documents, images, and online sources",106.0,4587.0,0.023108785698713757,19894.0,966921.0,0.020574586755277836,1.1231713168083846,0.9300608799037591,1.3563776674830357,False
claude_ai,AE,GLOBAL,"Get help with daily life tasks, personal information, and household management",237.0,4587.0,0.051667756703727925,56994.0,966921.0,0.058943802027259726,0.8765596199551762,0.7741504060991673,0.9925161328889592,False
claude_ai,AE,GLOBAL,"Implement and troubleshoot authentication, authorization, and security systems for web applications",42.0,4587.0,0.009156311314584695,11002.0,966921.0,0.011378385617852958,0.804710933703831,0.5951798015275435,1.0880068261061846,False
claude_ai,AE,GLOBAL,"Provide financial information, tax guidance, and consumer purchase assistance",247.0,4587.0,0.05384783082624809,42963.0,966921.0,0.044432792337740105,1.2118939187288278,1.073071469879681,1.3686757233575433,True
claude_ai,AE,GLOBAL,"Provide health, fitness, medical, and mental health information and clinical documentation assistance",175.0,4587.0,0.0381512971441029,41980.0,966921.0,0.04341616326463072,0.8787348829412367,0.7596623340512454,1.0164713450774558,False
claude_ai,AE,GLOBAL,Provide legal services and fraud investigation assistance,86.0,4587.0,0.018748637453673424,21331.0,966921.0,0.02206074746540824,0.849864107418469,0.689036807443988,1.0482299251290788,True
claude_ai,AE,GLOBAL,"Provide technical support across IT infrastructure, security, and engineering systems",325.0,4587.0,0.07085240898190538,78850.0,966921.0,0.0815475100861394,0.8688482199770823,0.7822358319033719,0.9650506900463688,False
claude_ai,AL,GLOBAL,"Assist with mathematics, physics, and STEM homework and assignments",32.0,272.0,0.11764705882352941,69852.0,971236.0,0.07192072781486683,1.6357879348269113,1.1812612598737002,2.265207755997506,False
claude_ai,AL,GLOBAL,"Assist with software development, debugging, and programming across multiple platforms",72.0,272.0,0.2647058823529412,168318.0,971236.0,0.1733028841599776,1.5274176401391484,1.2528990526407306,1.86208509176456,False
claude_ai,AL,GLOBAL,"Provide technical support across IT infrastructure, security, and engineering systems",42.0,272.0,0.15441176470588236,79133.0,971236.0,0.08147659271279072,1.8951671831711467,1.4349364454649458,2.503008870894693,False
claude_ai,AM,GLOBAL,"Assist with academic research, scientific writing, and educational content creation",42.0,522.0,0.08045977011494253,72397.0,970986.0,0.0745602923214135,1.079123587231896,0.8073903819298622,1.4423106127878,False
claude_ai,AM,GLOBAL,"Assist with creative content, marketing, and media production projects",42.0,522.0,0.08045977011494253,74321.0,970986.0,0.0765417833006861,1.0511875559374548,0.7864907613569238,1.4049691770712267,False
claude_ai,AM,GLOBAL,"Assist with mathematics, physics, and STEM homework and assignments",39.0,522.0,0.07471264367816093,69845.0,970986.0,0.0719320360952681,1.0386560388643822,0.7679303772471844,1.40482314417183,False
claude_ai,AM,GLOBAL,"Assist with software development, debugging, and programming across multiple platforms",126.0,522.0,0.2413793103448276,168264.0,970986.0,0.1732918909232471,1.3929059753392452,1.1963153482333695,1.6218023608916323,False
claude_ai,AM,GLOBAL,"Assist with translation, writing, editing, and document formatting tasks",49.0,522.0,0.09386973180076628,76357.0,970986.0,0.07863862094819081,1.1936848671673697,0.9143184596472147,1.558410581204021,False
claude_ai,AM,GLOBAL,"Provide technical support across IT infrastructure, security, and engineering systems",62.0,522.0,0.11877394636015326,79113.0,970986.0,0.08147697289147321,1.4577609126244708,1.153886393081651,1.8416604018532325,False
claude_ai,AO,GLOBAL,"Assist with academic research, scientific writing, and educational content creation",36.0,285.0,0.12631578947368421,72403.0,971223.0,0.07454827573070243,1.6944159772385121,1.2484700965513769,2.299650998331295,False
claude_ai,AO,GLOBAL,"Assist with creative content, marketing, and media production projects",31.0,285.0,0.10877192982456141,74332.0,971223.0,0.07653443133039477,1.421215627186138,1.0192944810137805,1.9816195383979323,False
claude_ai,AO,GLOBAL,"Assist with mathematics, physics, and STEM homework and assignments",46.0,285.0,0.16140350877192983,69838.0,971223.0,0.07190727567201353,2.244606088375956,1.7225309812778067,2.924914876269415,False
claude_ai,AO,GLOBAL,"Assist with software development, debugging, and programming across multiple platforms",63.0,285.0,0.22105263157894736,168327.0,971223.0,0.17331447051809934,1.2754424423889215,1.025631369547621,1.5860995208878368,False
claude_ai,AO,GLOBAL,"Assist with translation, writing, editing, and document formatting tasks",34.0,285.0,0.11929824561403508,76372.0,971223.0,0.07863487582151577,1.5171162206044098,1.1065947273294134,2.079931857596725,False
claude_ai,AR,GLOBAL,"Assist with SQL databases, data analysis, and visualization tasks",188.0,4827.0,0.038947586492645535,26403.0,966681.0,0.027313043289358123,1.4259702252886823,1.238885373585077,1.6413068769434607,False
claude_ai,AR,GLOBAL,"Assist with academic research, scientific writing, and educational content creation",290.0,4827.0,0.060078723845038325,72149.0,966681.0,0.07463578988311553,0.804958639000478,0.7198091483026866,0.9001808493673509,False
claude_ai,AR,GLOBAL,"Assist with business development, analysis, research, and strategic planning",180.0,4827.0,0.037290242386575516,42869.0,966681.0,0.04434658382651568,0.840881961335632,0.7283726839489341,0.9707701681866375,True
